Time,Reward,Control,Power,Up_con,Down_con,Stad_con,Turbin,EO
281,1,0,0.074715354,0.130513131,0.069486869,0.077766667,814.5,0
282,1,0,0.074997716,0.12968951,0.07031049,0.077966667,819,0
283,1,0,0.075179763,0.129869035,0.070130965,0.078166667,823.5,0
284,1,0,0.075295255,0.130714121,0.069285879,0.078366667,828,0
285,1,0,0.075371489,0.131951777,0.068048223,0.078566667,832.5,0
286,1,1,0.075421259,0.133454079,0.066545921,0.078766667,837,0
287,1,1,0.075556941,0.134097253,0.065902747,0.078966667,841.5,0
288,1,1,0.07576637,0.13400297,0.06599703,0.079166667,846,0
289,1,1,0.076018319,0.133483481,0.066516519,0.079366667,850.5,0
290,1,1,0.076301202,0.132654645,0.067345355,0.079566667,855,0
291,1,1,0.076606944,0.131597225,0.068402775,0.079766667,859.5,0
292,1,1,0.076910317,0.130563497,0.069436503,0.079966667,864,0
293,1,1,0.077271767,0.128948997,0.071051003,0.080166667,868.5,0
294,1,1,0.0775996,0.127670667,0.072329333,0.080366667,873,0
295,1,1,0.077958472,0.126081946,0.073918054,0.080566667,877.5,0
296,1,0,0.078314349,0.124523176,0.075476824,0.080766667,882,0
297,1,0,0.078624181,0.123424852,0.076575148,0.080966667,886.5,0
298,1,0,0.078870222,0.122964447,0.077035553,0.081166667,891,0
299,1,0,0.079075709,0.122909577,0.077090423,0.081366667,895.5,0
300,1,0,0.0792583,0.123083663,0.076916337,0.081566667,900,0
301,1,0,0.079424031,0.123426356,0.076573644,0.081766667,904.5,0
302,1,0,0.079581253,0.123854134,0.076145866,0.081966667,909,0
303,1,0,0.079731546,0.124351203,0.075648797,0.082166667,913.5,0
304,1,0,0.079876617,0.124900501,0.075099499,0.082366667,918,0
305,1,0,0.080019355,0.125473118,0.074526882,0.082566667,922.5,0
306,1,1,0.080157354,0.126093122,0.073906878,0.082766667,927,0
307,1,1,0.080422625,0.125440417,0.074559583,0.082966667,931.5,0
308,1,1,0.080725484,0.124411831,0.075588169,0.083166667,936,0
309,1,1,0.081082016,0.122846504,0.077153496,0.083366667,940.5,0
310,1,1,0.081475548,0.120911182,0.079088818,0.083566667,945,0
311,1,0,0.081872597,0.118940693,0.081059307,0.083766667,949.5,0
312,1,0,0.082328245,0.116384216,0.083615784,0.083966667,954,0
313,1,0,0.082701787,0.114648793,0.085351207,0.084166667,958.5,0
314,1,0,0.083021104,0.113455623,0.086544377,0.084366667,963,0
315,1,0,0.083309576,0.112570908,0.087429092,0.084566667,967.5,0
316,1,1,0.083577231,0.111894361,0.088105639,0.084766667,972,0
317,1,1,0.083902992,0.110636744,0.089363256,0.084966667,976.5,0
318,1,1,0.084325567,0.108410998,0.091589002,0.085166667,981,0
319,1,1,0.084784403,0.105822632,0.094177368,0.085366667,985.5,0
320,1,1,0.085289329,0.102773374,0.097226626,0.085566667,990,0
321,1,0,0.08586093,0.099057363,0.100942637,0.085766667,994.5,0
322,1,0,0.086321011,0.096123221,0.103876779,0.085933333,999,0
323,1,0,0.086861886,0.093047806,0.106952194,0.086166667,1003.5,0
324,1,0,0.087264344,0.091023226,0.108976774,0.086366667,1008,0
325,1,0,0.087635398,0.089312688,0.110687312,0.086566667,1012.5,0
326,1,0,0.087984279,0.087823879,0.112176121,0.086766667,1017,0
327,1,0,0.088322081,0.08644586,0.11355414,0.086966667,1021.5,0
328,1,0,0.088650912,0.085157546,0.114842454,0.087166667,1026,0
329,1,0,0.08897233,0.083943366,0.116056634,0.087366667,1030.5,0
330,1,0,0.089289337,0.082773293,0.117226707,0.087566667,1035,0
331,1,0,0.089547366,0.081859674,0.118140326,0.087733333,1039.5,0
332,1,0,0.089904971,0.080616952,0.119383048,0.087966667,1044,0
333,1,0,0.090206429,0.079602373,0.120397627,0.088166667,1048.5,0
334,1,0,0.090503208,0.078634583,0.121365417,0.088366667,1053,0
335,1,0,0.090748735,0.077845986,0.122154014,0.088533333,1057.5,0
336,1,0,0.091038473,0.076948604,0.123051396,0.088733333,1062,0
337,1,0,0.09132643,0.076069029,0.123930971,0.088933333,1066.5,0
338,1,0,0.091610052,0.075232816,0.124767184,0.089133333,1071,0
339,1,0,0.091891192,0.074421414,0.125578586,0.089333333,1075.5,0
340,1,0,0.092170253,0.073630799,0.126369201,0.089533333,1080,0
341,1,1,0.092445157,0.072881759,0.127118241,0.089733333,1084.5,0
342,1,1,0.092886485,0.070468482,0.129531518,0.089933333,1089,0
343,1,1,0.093397096,0.067362375,0.132637625,0.090133333,1093.5,0
344,1,1,0.09396337,0.063699636,0.136300364,0.090333333,1098,0
345,1,1,0.094611973,0.059213608,0.140786392,0.090533333,1102.5,0
346,1,0,0.095213532,0.055198009,0.144801991,0.090733333,1107,0
347,1,0,0.095973149,0.049601844,0.150398156,0.090933333,1111.5,0
348,1,0,0.09659794,0.045353936,0.154646064,0.091133333,1116,0
349,1,0,0.097131565,0.042017681,0.157982319,0.091333333,1120.5,0
350,1,0,0.09760911,0.039242232,0.160757768,0.091533333,1125,0
351,1,0,0.098050848,0.036824857,0.163175143,0.091733333,1129.5,0
352,1,0,0.098472908,0.034604252,0.165395748,0.091933333,1134,0
353,1,0,0.098879196,0.032541376,0.167458624,0.092133333,1138.5,0
354,1,0,0.09927474,0.030585937,0.169414063,0.092333333,1143,0
355,1,0,0.09966144,0.028718937,0.171281063,0.092533333,1147.5,0
356,1,0,0.100037962,0.026953711,0.173046289,0.092733333,1152,0
357,1,0,0.100407884,0.025254498,0.174745502,0.092933333,1156.5,0
358,1,0,0.100768536,0.02364797,0.17635203,0.093133333,1161,0
359,1,0,0.101122014,0.022113191,0.177886809,0.093333333,1165.5,0
360,1,0,0.101468809,0.020645244,0.179354756,0.093533333,1170,0
361,1,0,0.101806737,0.019265959,0.180734041,0.093733333,1174.5,0
362,1,0,0.102139242,0.017940913,0.182059087,0.093933333,1179,0
